Site ID,lon,lat
124,175.00000167139459,-40.99222014542951
136,175.50156763590599,-40.34067151935793
146,175.50132565486066,-40.34009092913401
121,174.98773664160566,-41.121576037717524
190,175.30502368193183,-40.47954842603881
145,175.30480582053409,-40.4855443356028
147,175.3071016593269,-40.47970829778612
148,175.30510559604943,-40.479560456510654
154,175.303322304958,-40.485198665956574
187,175.30513455731284,-40.47956633726761
188,175.30507662351323,-40.47955631449501
189,175.30505112542713,-40.479552355364795
1123,175.34116480822715,-40.44981006932842
1121,175.31089272399325,-40.47383360121781
162,174.74253115390246,-41.266013249831964
209,174.74815086859422,-41.2243575126213
206,174.77211098255236,-41.1886091105533
174,174.94094446511818,-41.11304348746176
172,174.7721014424998,-41.18860288017404
115,175.1386098052077,-40.738481548665675
161,175.12564872475207,-40.753645057279854
137,175.45316287540953,-40.37306936346382
123,175.4532521246873,-40.37256619874613
159,175.10603659799781,-40.785250816055914
173,174.87622315794727,-41.15674065788321
204,174.80478819902342,-41.188368456598276
200,174.90598687656944,-36.975905704669124
142,175.05052196156612,-40.870906674744155
144,175.04506347766926,-40.87968330051487
